id,name,domain,website,industry,segmento,country,state,city,num_associated_contacts,num_associated_deals,lifecyclestage,sources
33669502879,Agência Javali,agenciajavali.com.br,agenciajavali.com.br,,Mídia e Conteúdo,,,,1,,,name-agencia
33757180817,Agência Jazz Side,,,,,,,,1,2,,name-agencia
33664022048,Agência JKR,agenciajkr.com.br,agenciajkr.com.br,,Mídia e Conteúdo,,,,4,,,name-agencia
33673847477,Agência K2,k2agencia.com,k2agencia.com,,,,,,1,,,name-agencia
33668109611,Agência Kanum,agenciakanum.com.br,agenciakanum.com.br,,Mídia e Conteúdo,,,,1,,,name-agencia
33759349272,Agência Keep,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33497081640,Agencia Keep Promoções,keep1.com.br,keep1.com.br,,Mídia e Conteúdo,,,,3,4,,name-agencia
33795878938,Agência KES,,,,,,,,1,1,,name-agencia
33752853101,Agência Kmais,,,,,,,,1,1,,name-agencia
33660769793,Agência Kratos,agenciakratos.com.br,agenciakratos.com.br,,Mídia e Conteúdo,,,,2,,,name-agencia
33581295739,Agência La Diference /Animale,,,,,,,,1,1,,name-agencia
33803203588,Agência Laditour,,,,Alimentação e Hospitalidade,,,,2,3,1246600764,name-agencia
37570188726,Agencia Lemon Pepper,lemonpepper.com.br,lemonpepper.com.br,,,,,,1,,,name-agencia
33666927142,Agência LEV,agencialev.com.br,agencialev.com.br,,,,,,1,,,name-agencia
33676095263,Agência Life,agencia.life,agencia.life,,Mídia e Conteúdo,,,,2,1,,name-agencia|domain-agencia
34730991883,Agência Lincourt,agencialincourt.com.br,agencialincourt.com.br,,Mídia e Conteúdo,,,,1,1,,name-agencia
33787110940,Agência Live Markethings,,,,Mídia e Conteúdo,,,,1,2,,name-agencia
33083723817,Agência Live MKT,agencialivemkt.com.br,agencialivemkt.com.br,,Mídia e Conteúdo,,,,4,4,,name-agencia
51990844706,Agência LK,lkcomunicacao.com.br,lkcomunicacao.com.br,BROADCAST_MEDIA,Mídia e Conteúdo,Brazil,,,1,,1246600764,name-agencia
